P:Joost-Pieter Katoen
P:Marsha Chechik
Dalal Alrajeh
Luis Soares Barbosa
Ezio Bartocci
Nikolaj Bjørner
Sandrine Blazy
Borzoo Bonakdarpour
Pablo Castro
Ana Cavalcanti
Milan Česka
Nancy Day
Bernd Fischer
Arie Gurfinkel
Reiner Hähnle
Ichiro Hasuo
Keijo Heljanko
Holger Hermanns
Peter Höfner
Marieke Huisman
Adrian Francalanza
Einar Broch Johnsen
Sebastian Junges
Martin Leucker
Yi Li
Lei Ma
Mieke Massink
Christoph Matheja
Annabelle McIver
Claudio Menghi
Jan Peleska
Andre Platzer
Jan-Oliver Ringert
Baishakhi Ray
Christina Seceleanu
Marjan Sirjani
Paola Spoletini
Jun Sun
Emilio Tuosto
Matthias Volk
Ou Wei
Mike Whalen
Mingsheng Ying
Naijun Zhan
